co2;puiss_admin_98;puiss_max;conso_urb;conso_mixte;masse_ordma_min;masse_ordma_max;lib_mrq;gamme;cod_cbr
182;12;147;11,30000019;7,800000191;1505;1505;ALFA-ROMEO;MOY-SUPER;ES
186;12;147;11,5;8;1555;1555;ALFA-ROMEO;MOY-SUPER;ES
134;7;100;6,599999905;5,099999905;1565;1565;ALFA-ROMEO;MOY-SUPER;GO
134;7;100;6,599999905;5,099999905;1565;1565;ALFA-ROMEO;MOY-SUPER;GO
139;9;125;6,900000095;5,300000191;1565;1565;ALFA-ROMEO;MOY-SUPER;GO
139;9;125;6,900000095;5,300000191;1565;1565;ALFA-ROMEO;MOY-SUPER;GO
136;9;125;6,599999905;5,099999905;1565;1565;ALFA-ROMEO;MOY-SUPER;GO
137;7;100;6,800000191;5,199999809;1615;1615;ALFA-ROMEO;MOY-SUPER;GO
137;7;100;6,800000191;5,199999809;1615;1615;ALFA-ROMEO;MOY-SUPER;GO
142;9;125;7,099999905;5,400000095;1615;1615;ALFA-ROMEO;MOY-SUPER;GO
142;9;125;7,099999905;5,400000095;1615;1615;ALFA-ROMEO;MOY-SUPER;GO
139;9;125;6,699999809;5,199999809;1615;1615;ALFA-ROMEO;MOY-SUPER;GO
157;14;177;9,800000191;6,800000191;995;995;ALFA-ROMEO;LUXE;ES
379;38;331;24,39999962;16,29999924;1750;1750;ALFA-ROMEO;LUXE;ES
379;38;331;24,39999962;16,29999924;1750;1750;ALFA-ROMEO;LUXE;ES
189;12;147;11,80000019;8,100000381;1505;1505;ALFA-ROMEO;MOY-SUPER;ES
189;12;147;11,80000019;8,100000381;1505;1505;ALFA-ROMEO;MOY-SUPER;ES
142;9;125;7,099999905;5,400000095;1555;1555;ALFA-ROMEO;MOY-SUPER;GO
142;9;125;7,099999905;5,400000095;1555;1555;ALFA-ROMEO;MOY-SUPER;GO
142;9;120;7,099999905;5,400000095;1555;1555;ALFA-ROMEO;MOY-SUPER;GO
142;9;120;7,099999905;5,400000095;1555;1555;ALFA-ROMEO;MOY-SUPER;GO
149;7;88;8,399999619;6,400000095;1355;1355;ALFA-ROMEO;MOY-INFER;ES
149;7;88;8,399999619;6,400000095;1355;1355;ALFA-ROMEO;MOY-INFER;ES
134;9;120;7,800000191;5,800000191;1365;1365;ALFA-ROMEO;MOY-INFER;ES
134;9;120;7,800000191;5,800000191;1365;1365;ALFA-ROMEO;MOY-INFER;ES
132;9;125;7,599999905;5,699999809;1365;1365;ALFA-ROMEO;MOY-INFER;ES
134;9;125;7,800000191;5,800000191;1365;1365;ALFA-ROMEO;MOY-INFER;ES
132;9;125;7,599999905;5,699999809;1365;1365;ALFA-ROMEO;MOY-INFER;ES
132;9;125;7,599999905;5,699999809;1365;1365;ALFA-ROMEO;MOY-INFER;ES
134;9;125;7,800000191;5,800000191;1365;1365;ALFA-ROMEO;MOY-INFER;ES
132;9;125;7,599999905;5,699999809;1365;1365;ALFA-ROMEO;MOY-INFER;ES
134;9;125;7,800000191;5,800000191;1365;1365;ALFA-ROMEO;MOY-INFER;ES
134;9;125;7,800000191;5,800000191;1365;1365;ALFA-ROMEO;MOY-INFER;ES
134;9;125;7,800000191;5,800000191;1365;1365;ALFA-ROMEO;MOY-INFER;ES
132;9;120;7,599999905;5,699999809;1365;1365;ALFA-ROMEO;MOY-INFER;ES
132;9;120;7,599999905;5,699999809;1365;1365;ALFA-ROMEO;MOY-INFER;ES
131;9;125;7,599999905;5,699999809;1365;1365;ALFA-ROMEO;MOY-INFER;ES
131;9;125;7,599999905;5,699999809;1365;1365;ALFA-ROMEO;MOY-INFER;ES
131;9;125;7,599999905;5,699999809;1365;1365;ALFA-ROMEO;MOY-INFER;ES
131;9;125;7,599999905;5,699999809;1365;1365;ALFA-ROMEO;MOY-INFER;ES
131;9;120;7,599999905;5,699999809;1365;1365;ALFA-ROMEO;MOY-INFER;ES
131;9;120;7,599999905;5,699999809;1365;1365;ALFA-ROMEO;MOY-INFER;ES
134;9;125;7,800000191;5,800000191;1365;1365;ALFA-ROMEO;MOY-INFER;ES
134;9;120;7,800000191;5,800000191;1365;1365;ALFA-ROMEO;MOY-INFER;ES
134;9;120;7,800000191;5,800000191;1365;1365;ALFA-ROMEO;MOY-INFER;ES
134;9;125;7,800000191;5,800000191;1365;1365;ALFA-ROMEO;MOY-INFER;ES
134;9;125;7,800000191;5,800000191;1365;1365;ALFA-ROMEO;MOY-INFER;ES
134;9;125;7,800000191;5,800000191;1365;1365;ALFA-ROMEO;MOY-INFER;ES
134;9;125;7,800000191;5,800000191;1365;1365;ALFA-ROMEO;MOY-INFER;ES
134;9;125;7,800000191;5,800000191;1365;1365;ALFA-ROMEO;MOY-INFER;ES
121;9;125;6,699999809;5,199999809;1380;1380;ALFA-ROMEO;MOY-INFER;ES
121;9;125;6,699999809;5,199999809;1380;1380;ALFA-ROMEO;MOY-INFER;ES
121;9;125;6,699999809;5,199999809;1380;1380;ALFA-ROMEO;MOY-INFER;ES
121;9;125;6,699999809;5,199999809;1380;1380;ALFA-ROMEO;MOY-INFER;ES
121;8;120;6,699999809;5,199999809;1380;1380;ALFA-ROMEO;MOY-INFER;ES
121;8;120;6,699999809;5,199999809;1380;1380;ALFA-ROMEO;MOY-INFER;ES
119;9;125;6,599999905;5,099999905;1380;1380;ALFA-ROMEO;MOY-INFER;ES
119;9;125;6,599999905;5,099999905;1380;1380;ALFA-ROMEO;MOY-INFER;ES
119;9;125;6,599999905;5,099999905;1380;1380;ALFA-ROMEO;MOY-INFER;ES
119;9;125;6,599999905;5,099999905;1380;1380;ALFA-ROMEO;MOY-INFER;ES
119;8;120;6,599999905;5,099999905;1380;1380;ALFA-ROMEO;MOY-INFER;ES
119;8;120;6,599999905;5,099999905;1380;1380;ALFA-ROMEO;MOY-INFER;ES
117;9;125;6,400000095;5;1380;1380;ALFA-ROMEO;MOY-INFER;ES
117;9;125;6,400000095;5;1380;1380;ALFA-ROMEO;MOY-INFER;ES
121;9;125;6,699999809;5,199999809;1380;1380;ALFA-ROMEO;MOY-INFER;ES
121;9;125;6,699999809;5,199999809;1380;1380;ALFA-ROMEO;MOY-INFER;ES
121;9;125;6,699999809;5,199999809;1380;1380;ALFA-ROMEO;MOY-INFER;ES
121;9;125;6,699999809;5,199999809;1380;1380;ALFA-ROMEO;MOY-INFER;ES
121;8;120;6,699999809;5,199999809;1380;1380;ALFA-ROMEO;MOY-INFER;ES
121;8;120;6,699999809;5,199999809;1380;1380;ALFA-ROMEO;MOY-INFER;ES
149;6;77;8,399999619;6,400000095;1355;1355;ALFA-ROMEO;MOY-INFER;ES
149;6;77;8,399999619;6,400000095;1355;1355;ALFA-ROMEO;MOY-INFER;ES
149;6;77;8,399999619;6,400000095;1355;1355;ALFA-ROMEO;MOY-INFER;ES
149;6;77;8,399999619;6,400000095;1355;1355;ALFA-ROMEO;MOY-INFER;ES
148;6;77;8,300000191;6,400000095;1355;1355;ALFA-ROMEO;MOY-INFER;ES
148;6;77;8,300000191;6,400000095;1355;1355;ALFA-ROMEO;MOY-INFER;ES
148;6;77;8,300000191;6,400000095;1355;1355;ALFA-ROMEO;MOY-INFER;ES
148;6;77;8,300000191;6,400000095;1355;1355;ALFA-ROMEO;MOY-INFER;ES
149;7;85;8,399999619;6,400000095;1355;1355;ALFA-ROMEO;MOY-INFER;ES
149;7;85;8,399999619;6,400000095;1355;1355;ALFA-ROMEO;MOY-INFER;ES
149;7;88;8,399999619;6,400000095;1355;1355;ALFA-ROMEO;MOY-INFER;ES
149;7;88;8,399999619;6,400000095;1355;1355;ALFA-ROMEO;MOY-INFER;ES
149;7;88;8,399999619;6,400000095;1355;1355;ALFA-ROMEO;MOY-INFER;ES
148;7;88;8,300000191;6,400000095;1392;1392;ALFA-ROMEO;MOY-INFER;ES/GP
134;7;88;10,89999962;8,300000191;1392;1392;ALFA-ROMEO;MOY-INFER;GP/ES
148;7;88;8,300000191;6,400000095;1392;1392;ALFA-ROMEO;MOY-INFER;ES/GP
